Metric Name,Effort,Notes
# of Secrets,,
? by type,,
? by project,,
? by store,,
? by status,,
? by age (newest ? oldest relevant to now),,
Age of secrets,,
? TTL,,
? Time since creation,,
# Clients/type (human/machine),,
"# Stores (""available""/pending deletion)",,
,,
"CREATED BY', 'LAST ACCESSED' OUT OF SCOPE",,
