Metric Name,Effort,Notes
"# of Keys by type (symmetric, asymmetric, MAC)",,
"? by type (symmetric, asymmetric, MAC)",,
? by project,,
? by store,,
? by age (newest ? oldest relevant to now),,
# of Key versions (per key),,
"? by algorithm (enabled, disabled, pending deletion)",,
"? by state (active, decrypt-only, disabled, pending deletion)",,
Age of keys,,
? TTL,,
? Time since creation,,
,,
"CREATED BY', 'LAST ACCESSED' OUT OF SCOPE",,
